question_id,mode,mrr,recall_at_5,precision_at_5,rouge_l,generated_answer,ground_truth_answer
q_000,dense,0.0,0.0,0.0,0.025316455696202528," a b c      : cs1 maint : numeric names : authors list ( link ) retrieved from "" https : / / en. wikipedia. org / w / index. php? title = let _ txapote _ vote _ for _ you & oldid = 1311469944","introduction of a multi - head attention model that was easier to parallelize due to the use of independent heads and the lack of recurrence. its parallelizability was an important factor to its widespread use in large neural networks. ai boom era as early as spring 2017, even before the "" attention is all you need "" preprint was published, one of the co - authors applied the "" decoder - only "" variation of the architecture to generate fictitious wikipedia articles. transformer architecture is now used alongside many generative models that contribute to the ongoing ai boom. in language modelling, elmo ( 2018 ) was a bi - directional lstm that produces contextualized word embeddings, improving upon the line of research from bag of words and word2vec. it was followed by bert ( 2018 ), an encoder - only transformer model. in october 2019, google started using bert to process search queries. in 2020, google translate replaced the previous rnn - encoder – rnn - decoder model by a transformer - encoder – rnn - decoder model. starting in 2018, the openai gpt series of decoder - only transformers became state of the art in natural language generation. in 2022, a chatbot based on gpt - 3, chatgpt, became unexpectedly popular, triggering a boom around large language models. since 2020, transformers have been applied in modalities beyond text, including the"
q_001,dense,0.0,0.0,0.0,0.014084507042253523,liberals take longer to decide their stance on the information,"cs. cl ]. ^ press, ofir ; smith, noah a. ; lewis, mike ( 2021 - 08 - 01 ). "" train short, test long : attention with linear biases enables input length extrapolation "". arxiv : 2108. 12409 [ cs. cl ]. ^ shaw, peter ; uszkoreit, jakob ; vaswani, ashish ( 2018 ). "" self - attention with relative position representations "". arxiv : 1803. 02155 [ cs. cl ]. ^ ke, guolin ; he, di ; liu, tie - yan ( 2021 - 03 - 15 ), rethinking positional encoding in language pre - training, arxiv : 2006. 15595 ^ kwon, woosuk ; li, zhuohan ; zhuang, siyuan ; sheng, ying ; zheng, lianmin ; yu, cody hao ; gonzalez, joseph ; zhang, hao ; stoica, ion ( 2023 - 10 - 23 ). "" efficient memory management for large language model serving with pagedattention "". proceedings of the 29th symposium on operating systems principles. sosp ' 23. new york, ny, usa : association for computing machinery. pp. 611 – 626. arxiv : 2309. 06180. doi : 10. 1145 / 3600006. 3613165. isbn 979 - 8 -"
q_002,dense,0.0,0.0,0.0,0.0,"braingate - home "". braingate2. org.","- term memory based deep recurrent neural networks for large vocabulary speech recognition "". arxiv : 1410. 4281 [ cs. cl ]. ^ dupond, samuel ( 2019 ). "" a thorough review on the current advance of neural network structures "". annual reviews in control. 14 : 200 – 230. ^ abiodun, oludare isaac ; jantan, aman ; omolara, abiodun esther ; dada, kemi victoria ; mohamed, nachaat abdelatif ; arshad, humaira ( 2018 - 11 - 01 ). "" state - of - the - art in artificial neural network applications : a survey "". heliyon. 4 ( 11 ) e00938. bibcode : 2018heliy... 400938a. doi : 10. 1016 / j. heliyon. 2018. e00938. issn 2405 - 8440. pmc 6260436. pmid 30519653. ^ espinosa - sanchez, juan manuel ; gomez - marin, alex ; de castro, fernando ( 2023 - 07 - 05 ). "" the importance of cajal ' s and lorente de no ' s neuroscience to the birth of cybernetics "". the neuroscientist. 31 ( 1 ) : 14 – 30. doi : 10. 1177 / 10738584231179932. hdl : 1026"
q_003,dense,0.0,0.0,0.0,0.11055276381909548," a b c luba, aminath ( 2 may 2022 ). "" eid gift to the audience "". avas ( in divehi ). archived from the original on 7 may 2022. retrieved 7 april 2022.  luba, aminath ( 8 august 2023 ). "" eupe ' s "" jokaru "" to release on","on 14 february 2019. retrieved 20 january 2024. ^ "" chatgpt a year on : 3 ways the ai chatbot has completely changed the world in 12 months "". euronews. november 30, 2023. archived from the original on january 14, 2024. retrieved january 20, 2024. ^ heaven, will ( march 14, 2023 ). "" gpt - 4 is bigger and better than chatgpt — but openai won ' t say why "". mit technology review. archived from the original on march 17, 2023. retrieved january 20, 2024. ^ metz, cade ( september 12, 2024 ). "" openai unveils new chatgpt that can reason through math and science "". the new york times. retrieved september 12, 2024. ^ "" parameters in notable artificial intelligence systems "". ourworldindata. org. november 30, 2023. retrieved january 20, 2024. ^ sharma, shubham ( 2025 - 01 - 20 ). "" open - source deepseek - r1 uses pure reinforcement learning to match openai o1 — at 95 % less cost "". venturebeat. retrieved 2025 - 01 - 26. ^ "" llama - mesh "". research. nvidia. com. 2024. retrieved 2025 - 10 - 30. ^ zia, dr tehseen ( 2024 - 01 - 08 ). "" unveiling of large multimo"
q_004,dense,0.0,0.0,0.0,0.01515151515151515,What is the author's last name?,"deep learning for human action recognition "". in salah, albert ali ; lepri, bruno ( eds. ). human behavior unterstanding. lecture notes in computer science. vol. 7065. amsterdam, netherlands : springer. pp. 29 – 39. doi : 10. 1007 / 978 - 3 - 642 - 25446 - 8 _ 4. isbn 978 - 3 - 642 - 25445 - 1. ^ hochreiter, sepp ; heusel, martin ; obermayer, klaus ( 2007 ). "" fast model - based protein homology detection without alignment "". bioinformatics. 23 ( 14 ) : 1728 – 1736. doi : 10. 1093 / bioinformatics / btm247. pmid 17488755. ^ thireou, trias ; reczko, martin ( july 2007 ). "" bidirectional long short - term memory networks for predicting the subcellular localization of eukaryotic proteins "". ieee / acm transactions on computational biology and bioinformatics. 4 ( 3 ) : 441 – 446. bibcode : 2007itcbb... 4.. 441t. doi : 10. 1109 / tcbb. 2007. 1015. pmid 17666763. s2cid 11787259. ^ tax, niek ; verenich, ilya ; la rosa, marcello ; dumas,"
q_005,dense,0.0,0.0,0.0,0.0,"july 20, 2009","transformers for longer sequences with sparse attention methods "". google ai blog. 25 march 2021. archived from the original on 2021 - 09 - 18. retrieved 2021 - 05 - 28. ^ zhai, shuangfei ; talbott, walter ; srivastava, nitish ; huang, chen ; goh, hanlin ; zhang, ruixiang ; susskind, josh ( 2021 - 09 - 21 ). "" an attention free transformer "". arxiv : 2105. 14103 [ cs. lg ]. ^ peng, hao ; pappas, nikolaos ; yogatama, dani ; schwartz, roy ; smith, noah a. ; kong, lingpeng ( 2021 - 03 - 19 ). "" random feature attention "". arxiv : 2103. 02143 [ cs. cl ]. ^ choromanski, krzysztof ; likhosherstov, valerii ; dohan, david ; song, xingyou ; gane, andreea ; sarlos, tamas ; hawkins, peter ; davis, jared ; belanger, david ; colwell, lucy ; weller, adrian ( 2020 - 09 - 30 ). "" masked language modeling for proteins via linearly scalable long - context transformers "". arxiv : 2006. 03555 [ cs. lg ]. ^ lu, kevin ; grover, aditya ; abbeel, pieter ;"
q_006,dense,0.0,0.0,0.0,0.0,"/ index. php? title = lo _ carmen & oldid = 1335910933 "" ##gento.",", fabio lorenzo ; di ventra, massimiliano ( 2017 ). "" the complex dynamics of memristive circuits : analytical results and universal slow relaxation "". physical review e. 95 ( 2 ) 022140. arxiv : 1608. 08651. bibcode : 2017phrve.. 95b2140c. doi : 10. 1103 / physreve. 95. 022140. pmid 28297937. s2cid 6758362. ^ harvey, inman ; husbands, phil ; cliff, dave ( 1994 ), "" seeing the light : artificial evolution, real vision "", 3rd international conference on simulation of adaptive behavior : from animals to animats 3, pp. 392 – 401 ^ quinn, matt ( 2001 ). "" evolving communication without dedicated communication channels "". advances in artificial life : 6th european conference, ecal 2001. pp. 357 – 366. doi : 10. 1007 / 3 - 540 - 44811 - x _ 38. isbn 978 - 3 - 540 - 42567 - 0. ^ beer, randall d. ( 1997 ). "" the dynamics of adaptive behavior : a research program "". robotics and autonomous systems. 20 ( 2 – 4 ) : 257 – 289. doi : 10. 1016 / s0921 - 8890 ( 96 ) 00063 - 2. ^ sherstinsky, alex ( 2018 - 12 -"
q_007,dense,0.0,0.0,0.0,0.043478260869565216,"  cite book   : cs1 maint : location missing publisher ( link )  febvre, lucien ( 2010 ). the coming of the book : the impact of printing, 1450 – 1800. henri - jean martin, geoffrey nowell - smith, david wootton. london. isbn ","; mackworth, alan ( 2023 ). artificial intelligence, foundations of computational agents ( 3rd ed. ). cambridge university press. doi : 10. 1017 / 9781009258227. isbn 978 - 1 - 0092 - 5819 - 7. ^ russell, stuart ; norvig, peter ( 2020 ). artificial intelligence : a modern approach ( 4th ed. ). pearson. isbn 978 - 0 - 1346 - 1099 - 3. ^ "" why agents are the next frontier of generative ai "". mckinsey digital. 24 july 2024. archived from the original on 3 october 2024. retrieved 10 august 2024. ^ "" introducing copilot search in bing "". blogs. bing. com. 4 april 2025. ^ peters, jay ( 14 march 2023 ). "" the bing ai bot has been secretly running gpt - 4 "". the verge. retrieved 31 august 2025. ^ "" security for microsoft 365 copilot "". learn. microsoft. com. ^ o ' flaherty, kate ( 21 may 2025 ). "" google ai overviews — everything you need to know "". forbes. ^ "" generative ai in search : let google do the searching for you "". google. 14 may 2024. ^ figueiredo, mayara costa ; ankrah, elizabeth ; powell, jacquelyn e. ; epstein, daniel a. ; chen, yunan"
q_008,dense,0.0,0.0,0.0,0.03508771929824561," a b c d e "" ship news "". the standard. no. 7608. london. 1 january 1849.  a b c d e "" ship news "". liverpool mercury etc. no. 2052 ( second ed. ). liverpool. 29 december 1848.  a b c d e "" ship news "". the","able to recognize the wide variety of input as being identical to each other in terms of its textual equivalent. speech segmentation given a sound clip of a person or people speaking, separate it into words. a subtask of speech recognition and typically grouped with it. text - to - speech given a text, transform those units and produce a spoken representation. text - to - speech can be used to aid the visually impaired. word segmentation ( tokenization ) tokenization is a text - processing technique that divides text into individual words or word fragments. this technique results in two key components : a word index and tokenized text. the word index is a list that maps unique words to specific numerical identifiers, and the tokenized text replaces each word with its corresponding numerical token. these numerical tokens are then used in various deep learning methods. for a language like english, this is fairly trivial, since words are usually separated by spaces. however, some written languages like chinese, japanese and thai do not mark word boundaries in such a fashion, and in those languages text segmentation is a significant task requiring knowledge of the vocabulary and morphology of words in the language. sometimes this process is also used in cases like bag of words ( bow ) creation in data mining. morphological analysis lemmatization of basque words lemmatization the task of removing inflectional endings only and to return the base dictionary form of a word which is also known as a lemma. lemmatization"
q_009,dense,0.0,0.0,0.0,0.06369426751592357,"quantum computing ' .  a b "" alibaba is plowing $ 15 billion into quantum computing ' .  a b "" alibaba is plowing $ 15 billion into quantum computing ' .  a b "" alibaba is plowing $ 15 billion into quantum computing ' .  a b "" alibaba is plowing $ 15 billion into quantum computing '","; azulay, osher ; sintov, avishai ( february 2023 ). "" learning to throw with a handful of samples using decision transformers "". ieee robotics and automation letters. 8 ( 2 ) : 576 – 583. bibcode : 2023iral.... 8.. 576m. doi : 10. 1109 / lra. 2022. 3229266. issn 2377 - 3766. ^ a b ruoss, anian ; deletang, gregoire ; medapati, sourabh ; grau - moya, jordi ; wenliang, li ; catt, elliot ; reid, john ; genewein, tim ( 2024 - 02 - 07 ). "" grandmaster - level chess without search "". arxiv : 2402. 04494v1 [ cs. lg ]. ^ a b wolf, thomas ; debut, lysandre ; sanh, victor ; chaumond, julien ; delangue, clement ; moi, anthony ; cistac, pierric ; rault, tim ; louf, remi ; funtowicz, morgan ; davison, joe ; shleifer, sam ; von platen, patrick ; ma, clara ; jernite, yacine ; plu, julien ; xu, canwen ; le scao, teven ; gugger, sylvain ; drame, maria"
